姓名,队伍,国籍,年龄,游戏内位置
stikle-,自由选手,Albania,27,Coach
chrissK,自由选手,Austria,28,未知位置
farmaG,Sissi State Punks,Austria,28,AWPer
kakafu,自由选手,Austria,36,Coach
Orbit,Permitta Esports,Austria,23,Rifler (entry fragger)
ReacTioNNN,自由选手,Austria,24,Rifler (lurker)
S3NSEY,Fire Flux Esports,Austria,22,AWPer
sehza,自由选手,Austria Turkey,27,Rifler
sesL,自由选手,Austria,25,AWPer
xTreMe,自由选手,Austria,25,Rifler (entry fragger)
AntO_oNNN,自由选手,Belgium,30,未知位置
CrePoW,Fisher College,Belgium Russia,24,In-game leader
FARIS,自由选手,Belgium,33,Rifler
Keoz,自由选手,Belgium,25,Rifler
KllyVe,自由选手,Belgium,32,Rifler
MetaL,自由选手,Belgium,34,Rifler
n0te,自由选手,Belgium,19,Rifler
Nexius,OG,Belgium,22,Rifler
Nivera,自由选手,Belgium Morocco,24,未知位置
ritchiEE,Maestro Esports,Belgium,27,Rifler
Stev0se,Maestro Esports,Belgium,32,未知位置
yNc,自由选手,Belgium,未知年龄,Rifler
brutmonster,Zero Tenacity,Bosnia and Herzegovina,24,AWPer
huNter-,G2 Esports,Bosnia and Herzegovina Serbia,29,Rifler (lurker)
Katalic,自由选手,Bosnia and Herzegovina,28,未知位置
NiKo,Team Falcons,Bosnia and Herzegovina,28,Rifler (entry fragger)
sarenii,自由选手,Bosnia and Herzegovina,27,Rifler (entry fragger)
simke,Zero Tenacity,Bosnia and Herzegovina,21,Rifler
AwaykeN,Lausanne-Sport Esports,Bulgaria,22,AWPer
blocker,自由选手,Bulgaria,28,Rifler (entry fragger)
bubble,Imperial Female,Bulgaria,34,Coach
CeRq,500,Bulgaria,26,AWPer
dennyslaw,JiJieHao,Bulgaria,26,AWPer
doublemagic,自由选手,Bulgaria,28,未知位置
Duplicate,自由选手,Bulgaria,24,Rifler
Grashog,自由选手,Bulgaria Poland,26,未知位置
h4rn,自由选手,Bulgaria,25,未知位置
hybrid,自由选手,Bulgaria,未知年龄,Rifler
Joanana,Let Her Cook,Bulgaria,24,AWPer
KalubeR,自由选手,Bulgaria,25,Rifler
Krs7N,自由选手,Bulgaria,22,Rifler
mar,自由选手,Bulgaria,28,Rifler
milky,自由选手,Bulgaria,24,未知位置
niki1,自由选手,Bulgaria,35,未知位置
Oxygen,500,Bulgaria,22,Rifler
Patrick,500,Bulgaria,27,Rifler
pNshr,自由选手,Bulgaria,34,Coach
poizon,自由选手,Bulgaria,27,AWPer
POP0V,500,Bulgaria,28,Coach
rafftu,自由选手,Bulgaria,26,Rifler
Rainwaker,500,Bulgaria,24,未知位置
REDSTAR,自由选手,Bulgaria,24,未知位置
shaiK,自由选手,Bulgaria,23,未知位置
SHiPZ,500,Bulgaria,25,未知位置
Skrimo,Viperio,Bulgaria,21,Rifler (lurker)
SPELLAN,500,Bulgaria,28,未知位置
spyleadeR,自由选手,Bulgaria,36,未知位置
ToH1o,自由选手,Bulgaria,36,Coach
v1c7oR,自由选手,Bulgaria,31,Rifler (entry fragger)
viltrex,自由选手,Bulgaria,23,Rifler
DEPRESHN,自由选手,Croatia Bosnia and Herzegovina,22,AWPer
Maki,自由选手,Croatia,25,Rifler
ROGA,自由选手,Croatia,24,AWPer
Šego,自由选手,Croatia,25,Rifler
AJTT,自由选手,Czechia,24,Rifler (lurker)
beastik,SINNERS Esports,Czechia,27,未知位置
bfull,SINNERS Esports,Czechia,33,Coach
blogg1s,自由选手,Czechia,26,AWPer
Darber,自由选手,Czechia,21,Rifler
desty,自由选手,Czechia,28,Coach
Dytor,Dynamo Eclot,Czechia,22,Rifler
forsyy,Dynamo Eclot,Czechia,24,AWPer
K1-FiDa,UNiTY esports,Czechia,29,未知位置
KWERTZZ,自由选手,Czechia,24,Rifler
Lastík,自由选手,Czechia,未知年龄,In-game leader
Levi,UNiTY esports,Czechia,25,Rifler
majky,自由选手,Czechia,23,Rifler
manguss,自由选手,Czechia,24,Rifler (lurker)
MoriiSko,SINNERS Esports,Czechia,24,未知位置
nbqq,Dynamo Eclot,Czechia,28,Rifler (entry fragger)
NEOFRAG,UNiTY esports,Czechia,24,Rifler (entry fragger)
oskar,Inner Circle Esports,Czechia,34,AWPer
Pechyn,UNiTY esports,Czechia,27,Rifler
PR,GamerLegion,Czechia,18,Rifler
replay,Dynamo Eclot,Czechia,24,Coach
SHOCK,SINNERS Esports,Czechia,25,Rifler
stinx,自由选手,Czechia,26,Rifler
syncD,Wave Esports,Czechia Germany,24,Rifler
tomkeejs,SINNERS Esports,Czechia,27,Coach
Tusi,自由选手,Czechia,23,未知位置
Valencio,自由选手,Czechia,26,Rifler
ZEDKO,SINNERS Esports,Czechia,27,Rifler
zurys,Dynamo Eclot,Czechia,27,未知位置
AcilioN,Preasy Esport,Denmark,29,未知位置
acoR,TSM,Denmark,28,AWPer
aizy,自由选手,Denmark,29,Rifler (entry fragger)
alexsomfan,Astralis,Denmark,31,Assistant Coach
Altekz,自由选手,Denmark,22,Rifler
Anlelele,ECSTATIC,Denmark,25,Rifler
ave,自由选手,Denmark,37,Coach
b0RUP,Mission Possible,Denmark,26,Rifler (support)
b0ychild,XI Esport,Denmark,未知年龄,Coach
Basso,自由选手,Denmark,27,Rifler (support)
Beccie,Preasy Esport,Denmark,20,Rifler
BERRY,9INE,Denmark,35,Coach
birdfromsky,Mission Possible,Denmark,32,In-game leader
blameF,Fnatic,Denmark,28,未知位置
blaq,MASONIC,Denmark,31,In-game leader
br0,NRG,Denmark,23,Rifler
brzer,Hedensted X SERA,Denmark,24,AWPer
Buzz,OG,Denmark,22,Rifler
Cabbi,Sashi Esport,Denmark,27,Rifler (entry fragger)
cadiaN,Astralis,Denmark,30,未知位置
casle,Fnatic,Denmark,39,Coach
Chr1zN,OG,Denmark,19,未知位置
Console,自由选手,Denmark,29,Rifler (support)
cube,BC.Game Esports,Denmark,30,Coach
Daffu,自由选手,Denmark,28,Rifler (lurker)
dev1ce,Astralis,Denmark,30,AWPer
doktizh,自由选手,Denmark,29,Rifler (entry fragger)
dragoNfly,自由选手,Denmark,29,AWPer
dupreeh,Team Falcons,Denmark,32,未知位置
Equip,自由选手,Denmark,21,Rifler
es3tag,自由选手,Denmark,30,未知位置
farlig,自由选手,Denmark,26,AWPer
Fessor,Inner Circle Esports,Denmark,24,Rifler
FeTiSh,自由选手,Denmark,39,Coach
Friis,自由选手,Denmark,36,AWPer
Frøslev,MASONIC,Denmark,28,In-game leader
gla1ve,ENCE,Denmark,30,In-game leader
Gnøffe,WOPA Esport,Denmark,23,Rifler
Griller,Preasy Esport,Denmark,22,Rifler
haste,自由选手,Denmark,34,Analyst
HooXi,自由选手,Denmark,30,未知位置
HUNDEN,Sashi Esport,Denmark,34,Coach
IceBerg,Sashi Esport,Denmark,25,未知位置
J3nsyy,自由选手,Denmark,25,AWPer
jabbi,Astralis,Denmark,22,Rifler
JBOEN,自由选手,Denmark,20,AWPer
k0nfig,自由选手,Denmark,28,未知位置
karrigan,FaZe Clan,Denmark Germany,35,未知位置
kiR,Astralis Talent,Denmark,25,In-game leader
Kjaerbye,JiJieHao,Denmark,27,未知位置
kraghen,9INE,Denmark,23,Rifler
kristou,ECSTATIC,Denmark,23,AWPer
kroK,Astralis Talent,Denmark,21,Rifler
kwezz,自由选手,Denmark,25,Rifler
larsen,自由选手,Denmark,28,Coach
Leakz,Tricked Esport,Denmark,22,Rifler
LOMME,自由选手,Denmark,32,Analyst
Lucky,Sashi Esport,Denmark,23,未知位置
m4tt,自由选手,Denmark,未知年龄,Rifler
Maccen,自由选手,Denmark,24,Rifler
Magisk,Team Falcons,Denmark,27,Rifler
maNkz,M80,Denmark,27,In-game leader
Maze,自由选手,Denmark,24,未知位置
mertz,自由选手,Denmark,27,AWPer
minet,自由选手,Denmark,34,未知位置
MistR,自由选手,Denmark,21,Rifler
mithR,Team Liquid,Denmark Norway,36,Coach
mupzG,自由选手,Denmark,27,Rifler (lurker)
n1Xen,WOPA Esport,Denmark,22,AWPer
NaToSaphiX,NIP Impact,Denmark,29,Coach
netrick,MOUZ,Denmark,30,未知位置
nicoodoz,自由选手,Denmark,25,AWPer
niko,自由选手,Denmark,27,Rifler (lurker)
Nodios,Tricked Esport,Denmark,26,未知位置
notaN,自由选手,Denmark,25,Rifler
Patti,Preasy Esport,Denmark,27,In-game leader
PERCY,WOPA Esport,Denmark,31,未知位置
PR1mE,WOPA Esport,Denmark,24,Rifler
Q-Q,Inner Circle Esports,Denmark,22,Rifler
Queenix,Tricked Esport,Denmark,26,Rifler
R0nic,自由选手,Denmark,25,未知位置
raalz,9INE,Denmark,30,In-game leader
ramziiN,NIP Impact,Denmark,24,AWPer
refrezh,9INE,Denmark,27,Rifler (lurker)
Rejin,Tricked Esport,Denmark,38,Coach
ruggah,Astralis,Denmark,37,Coach
Rytter,Astralis Talent,Denmark,37,Coach
Ryxxo,XI Nordcom,Denmark,29,AWPer
salazar,Tricked Esport,Denmark Philippines,21,AWPer
siNde,自由选手,Denmark,未知年龄,Coach
sirah,ECSTATIC,Denmark,19,Rifler
sjuush,Ninjas in Pyjamas,Denmark,26,Rifler (support)
sL1m3,WOPA Esport,Denmark,19,AWPer
smF,自由选手,Denmark,33,Rifler
Snappi,Ninjas in Pyjamas,Denmark,35,未知位置
Speedy,自由选手,Denmark,22,Rifler
Staehr,Astralis,Denmark,21,Rifler
stavn,Astralis,Denmark,23,未知位置
sycrone,MOUZ,Denmark,29,Coach
Tauson,GamerLegion,Denmark,20,Rifler
tenzki,自由选手,Denmark,31,Coach
TeSeS,Team Falcons,Denmark,25,Rifler (entry fragger)
thamlike,Linx Legacy Esport,Denmark,未知年龄,Rifler
TMB,ECSTATIC,Denmark,23,未知位置
tmL,自由选手,Denmark,31,Coach
TOBIZ,MOUZ NXT,Denmark,30,Coach
tOPZ,Copenhagen Wolves,Denmark Faroe Islands,22,Rifler
torben,自由选手,Denmark,30,未知位置
trace,自由选手,Denmark,35,Coach
Vaegten,自由选手,Denmark,24,Rifler (entry fragger)
valde,Tricked Esport,Denmark,30,未知位置
vigg0,自由选手,Denmark,26,In-game leader
Vorborg,IHC Esports,Denmark,33,未知位置
Vster,WOPA Esport,Denmark,未知年龄,Rifler
Winspai,自由选手,Denmark,31,Coach
xanzir,SERA Esport,Denmark,未知年龄,Coach
Xyp9x,MOUZ,Denmark,30,Assistant Coach
zibron,自由选手,Denmark,30,Coach
zodi,Viperio,Denmark,23,In-game leader
zonic,Team Falcons,Denmark,39,Coach
Zyphon,Sashi Esport,Denmark,21,Rifler (lurker)
zypztw,Linx Legacy Esport,Denmark,27,未知位置
aNdu,自由选手,Estonia,20,Rifler
consss,自由选手,Estonia,26,未知位置
eku,自由选手,Estonia,23,Rifler
fejtZ,自由选手,Estonia,28,未知位置
Gaborik,自由选手,Estonia,31,未知位置
HS,自由选手,Estonia,29,Rifler (entry fragger)
Jyo,RUBY,Estonia Azerbaijan,30,Coach
MakiG,自由选手,Estonia,未知年龄,Rifler
Phileba,自由选手,Estonia,26,Rifler
ropz,Team Vitality,Estonia,26,Rifler (lurker)
shokz,自由选手,Estonia,28,Rifler (entry fragger)
Sickta,自由选手,Estonia,24,In-game leader
supra,自由选手,Estonia,25,Rifler
swicher,Viperio,Estonia,23,Rifler
Wahtzz,自由选手,Estonia,24,Rifler
xezr,自由选手,Estonia,22,Rifler
zteeek,自由选手,Estonia,26,AWPer
Aerial,JANO Esports,Finland,32,Rifler (entry fragger)
airax,自由选手,Finland,30,未知位置
Aleksib,Natus Vincere,Finland,28,In-game leader
allu,JANO Esports,Finland,33,AWPer
arvid,Skinvault Gaming,Finland,28,未知位置
aune,自由选手,Finland,未知年龄,未知位置
Banjo,Fire Flux Esports,Finland,21,Rifler
BONA,自由选手,Finland,26,Rifler (lurker)
doto,ENCE Prospects,Finland,29,Coach
Elfern,自由选手,Finland,28,Rifler
HENU,JANO Esports,Finland,23,未知位置
jelo,JANO Esports,Finland,26,Rifler
Jerppa,自由选手,Finland,22,Rifler
Jimpphat,MOUZ,Finland,19,Rifler
juho,自由选手,Finland,30,Rifler (entry fragger)
juissi,自由选手,Finland Sudan,23,Rifler
KIPSIk,自由选手,Finland Estonia,未知年龄,Coach
lehtori,TOOMUCHVIDEOGAMES,Finland,未知年龄,Rifler
LYNXi,自由选手,Finland,24,AWPer
myltsi,ENCE Academy,Finland,21,未知位置
oopee,Skinvault Gaming,Finland,27,Rifler
osku,自由选手,Finland,未知年龄,未知位置
ottoNd,自由选手,Finland,28,AWPer
peku,HAVU,Finland,29,Coach
podi,ENCE,Finland,21,AWPer
S1rva,自由选手,Finland,23,In-game leader
SADDYX,自由选手,Finland,24,Rifler (lurker)
Samppa,自由选手,Finland,未知年龄,Coach
sAw,HEROIC,Finland,33,Coach
sergej,自由选手,Finland,23,Rifler
shaker,TOOMUCHVIDEOGAMES,Finland,未知年龄,Rifler
sLowi,自由选手,Finland,29,未知位置
Sm1llee,JANO Esports,Finland,23,Rifler
spargo,自由选手,Finland,24,AWPer
STOVVE,自由选手,Finland,未知年龄,Rifler
suNny,自由选手,Finland,31,Rifler (entry fragger)
teme,ENCE Academy,Finland,18,Rifler
tomsku,自由选手,Finland,未知年龄,AWPer
toNppa,自由选手,Finland,未知年龄,Coach
Twista,JANO Esports,Finland,38,未知位置
uli,HAVU,Finland,28,Rifler
xartE,Skinvault Gaming,Finland,34,Coach
xseveN,自由选手,Finland,31,Rifler
zehN,自由选手,Finland,34,未知位置
zks,自由选手,Finland,26,Rifler
afro,Mercenaires,France,26,AWPer
AMANEK,MINLATE,France,32,未知位置
apEX,Team Vitality,France,32,In-game leader
ASTRA,Prototype Blaze,France,25,未知位置
Aymeinstein,G2 Esports,France,29,Assistant Coach
bodyy,3DMAX,France,28,未知位置
BouLy,自由选手,France,29,Rifler (entry fragger)
Brooxsy,GenOne,France,23,Rifler
day0s,自由选手,France,28,In-game leader
DEVIL,自由选手,France,31,未知位置
devoduvek,GenOne,France Serbia,31,Rifler
Diviiii,自由选手,France,22,AWPer
Djoko,自由选手,France,28,Rifler (entry fragger)
drac,GenOne,France,27,Rifler
DrqkoN,All Or Nothing Esport,France Algeria,30,AWPer
ElectuS,自由选手,France,23,Rifler
EMYOR,自由选手,France Tunisia,未知年龄,Rifler
Ex3rcice,3DMAX,France,25,Rifler
Gauthierlele,自由选手,France,28,Rifler
Graviti,3DMAX,France Serbia,22,Rifler
hAdji,自由选手,France Morocco,30,Rifler
HaRts,自由选手,France,40,Coach
ioRek,自由选手,France,未知年龄,未知位置
JACKZ,自由选手,France,33,Rifler (entry fragger)
jarod,自由选手,France,39,AWPer
Jas_x,All Or Nothing Esport,France,31,AWPer
jeyN,Team NOSTALGIA,France,27,Rifler
JiNKZ,自由选手,France,30,Rifler
Kan4,Prototype Blaze,France,33,Coach
Kaoday,Prototype Blaze,France,28,未知位置
killazoo,OG,France,29,Assistant Coach
Krav,自由选手,France,40,未知位置
Kursy,GenOne,France,24,AWPer
Kyojin,自由选手,France,26,Rifler (entry fragger)
Lambert,OG,France,34,Coach
liptoN,自由选手,France,34,Rifler
Lucky,3DMAX,France,27,Rifler (entry fragger)
Maka,3DMAX,France,28,未知位置
Malikof,自由选手,France Algeria,32,未知位置
Mar1on,自由选手,France,未知年龄,未知位置
MaT,Team Vitality,France,40,Assistant Coach
matHEND,自由选手,France,31,Coach
META,自由选手,France,29,未知位置
misutaaa,Mercenaires,France Albania,22,Rifler
NBK-,Mercenaires,France,31,未知位置
Neityu,ENCE,France,20,Rifler
nonick,自由选手,France,26,未知位置
Python,自由选手,France,24,未知位置
RacheLL,Prototype Blaze,France,26,未知位置
Razzmo,All Or Nothing Esport,France,24,Rifler
reCALEEEED,自由选手,France,30,Rifler
RpK,自由选手,France,36,Rifler (support)
SBT,自由选手,France,24,未知位置
shox,自由选手,France,33,未知位置
SIXER,Onyx Ravens,France,34,未知位置
SmithZz,自由选手,France,37,未知位置
SVEN1,自由选手,France,35,Assistant Coach
VKLL,自由选手,France,31,Rifler
waneG,自由选手,France,28,未知位置
wasiNk,3DMAX,France,30,Coach
Xp3,Ghost Gaming,France,38,Coach
XTQZZZ,Team Vitality,France,37,Coach
Zeusa,自由选手,France,未知年龄,Rifler
ZywOo,Team Vitality,France,25,未知位置
Anhuin,XPERION NXT,Germany,27,未知位置
ArroW,自由选手,Germany,23,Rifler
Askan,ALTERNATE aTTaX,Germany,23,AWPer
Bonga,自由选手,Germany,25,未知位置
cello,自由选手,Germany,34,Rifler (support)
Cl34v3rs,ALTERNATE aTTaX,Germany,27,未知位置
crisby,自由选手,Germany,34,未知位置
DAVEN,mYinsanity,Germany,28,未知位置
devraNN,自由选手,Germany Russia,24,AWPer
DreaM-,自由选手,Germany Italy,25,Rifler
DuDe,BIG,Germany,32,Coach
faveN,9INE,Germany,25,Rifler
florento,自由选手,Germany,26,In-game leader
FreeZe,自由选手,Germany,27,In-game leader
HadeZ,自由选手,Germany,25,Coach
hyped,BIG,Germany,24,AWPer
j1NZO,自由选手,Germany,24,Rifler
jansen,XPERION NXT,Germany,28,Rifler
JDC,BIG,Germany Portugal,25,Rifler (support)
Julie,SNOGARD Female,Germany,未知年龄,Rifler
k1to,自由选手,Germany,27,未知位置
KiNGDOM,自由选手,Germany,38,Coach
Kirby,AKA HERO,Germany,35,Rifler
kressy,自由选手,Germany Serbia,29,Rifler
Krimbo,BIG,Germany,23,Rifler (lurker)
kRYSTAL,自由选手,Germany,32,Assistant Coach
kyuubii,BIG,Germany Iraq,20,Rifler
LapeX,SNOGARD Dragons,Germany,25,未知位置
mave,自由选手,Germany,27,AWPer
mirbit,自由选手,Germany Turkey,29,未知位置
MoJo,自由选手,Germany,26,Rifler
MRC9,自由选手,Germany,29,Rifler
ND,SNOGARD Dragons,Germany,25,Rifler
NoRules,自由选手,Germany,25,Rifler
P4TriCK,Reveal,Germany Poland,29,Rifler (lurker)
PANIX,自由选手,Germany,27,AWPer
pdy,自由选手,Germany,未知年龄,Rifler (entry fragger)
PerX,Mercenaires,Germany France,26,Rifler (entry fragger)
pr1metapz,BC.Game Esports,Germany,25,Rifler
preet,自由选手,Germany,26,Rifler
prosus,BIG,Germany,22,Rifler (entry fragger)
rapala,自由选手,Germany,30,Rifler
red,Reveal,Germany,26,未知位置
s1n,M80,Germany,23,未知位置
sAu,自由选手,Germany,34,Analyst
SchwaByyjee,自由选手,Germany,29,Coach
ScrunK,Fire Flux Esports,Germany,30,未知位置
sha,自由选手,Germany,35,Coach
skyye,BIG Academy,Germany,23,Rifler (lurker)
slaxz-,M80,Germany,27,AWPer
SnacKZ1,LAG Gaming,Germany,25,Rifler
Spexy,自由选手,Germany,24,Rifler
Spiidi,自由选手,Germany,30,未知位置
stfN,自由选手,Germany,33,Rifler
suelo,自由选手,Germany,未知年龄,未知位置
Sw1ft,自由选手,Germany,24,Rifler
syrsoN,自由选手,Germany,29,AWPer
tabseN,BIG,Germany,30,未知位置
tahsiN,自由选手,Germany Turkey,35,Rifler
Tionix,Permitta Esports,Germany,27,Rifler (lurker)
tiziaN,自由选手,Germany,29,未知位置
TuGuX,Sangal Esports,Germany,34,Coach
veniq,自由选手,Germany,25,Rifler
xenn,BIG,Germany,30,Coach
yb,自由选手,Germany,34,Coach
awzek,自由选手,Greece Albania,27,Rifler
Aaron,JiJieHao,Hungary,26,未知位置
bodito,自由选手,Hungary,28,Rifler
coolio,Natus Vincere Junior,Hungary,25,Coach
DeadFox,自由选手,Hungary,30,未知位置
er9k,Honvéd Esport,Hungary,26,In-game leader
flashie,Natus Vincere,Hungary,30,Analyst
fleav,自由选手,Hungary,25,未知位置
gabesson,Hungarian Esport TV,Hungary,35,Coach
Kamion,自由选手,Hungary,26,Rifler
kolor,自由选手,Hungary,26,AWPer
kory,自由选手,Hungary Serbia,27,未知位置
msN,自由选手,Hungary,20,Rifler
pakesZ,Metizport X,Hungary,30,未知位置
sl3nd,GamerLegion,Hungary Romania,21,AWPer
SZLOBESZKOV,自由选手,Hungary,33,Coach
TABEN,LFO 4,Hungary Ukraine,未知年龄,Rifler
torzsi,MOUZ,Hungary,23,AWPer
xavi,Lausanne-Sport Esports,Hungary Serbia,22,Rifler
allee,Þór,Iceland,32,AWPer
Bjarni,Atlantic Seafood,Iceland,24,In-game leader
clvR,自由选手,Iceland,32,Rifler
EddezeNNN,自由选手,Iceland,25,Rifler
goa7er,自由选手,Iceland,34,Rifler
kruzer,DUSTY,Iceland,32,Coach
leFluff,自由选手,Iceland,25,Rifler
ofvirkur,Ármann,Iceland,33,AWPer
peterr,Þór,Iceland,32,Rifler
sPiKe,自由选手,Iceland,未知年龄,AWPer
StebbiC0C0,DUSTY,Iceland,24,未知位置
TH0R,自由选手,Iceland,25,未知位置
arTisT,ALASKA,Ireland,28,未知位置
BisCu,ALASKA,Ireland,29,Coach
Extinct,ALASKA,Ireland,26,Rifler
ammar,Kubix Esports,Kosovo,22,Rifler
arbnorz,自由选手,Kosovo,28,Rifler
BledarD,The Suspect,Kosovo,24,AWPer
Caleyy,Kubix Esports,Kosovo,23,Rifler
cerber,The Suspect,Kosovo,27,Rifler
deb0,自由选手,Kosovo,27,Rifler
Dementor,自由选手,Kosovo,26,In-game leader
gejmzilla,Kubix Esports,Kosovo Hungary,29,未知位置
gulito,自由选手,Kosovo Albania,26,Rifler (support)
gxx-,Bad News Eagles,Kosovo Albania,26,AWPer
HYPERI1,The Suspect,Kosovo,25,Rifler
juanflatroo,Bad News Eagles,Kosovo Albania,28,Rifler (entry fragger)
Krabeni,Natus Vincere Junior,Kosovo,20,In-game leader
makazze,Natus Vincere Junior,Kosovo,19,Rifler
rosoneriii,自由选手,Kosovo,25,Rifler
SENER1,Bad News Eagles,Kosovo Albania,28,Rifler (support)
sinnopsyy,Bad News Eagles,Kosovo Albania,30,未知位置
tripey,Kubix Esports,Kosovo,25,Rifler
v1w,自由选手,Kosovo,26,AWPer
xhoci,自由选手,Kosovo,未知年龄,Rifler
broky,FaZe Clan,Latvia,24,AWPer
discplex,EC BANGA,Latvia,26,Rifler
EIZA,自由选手,Latvia,25,Rifler
Frip,自由选手,Latvia,22,Rifler
hyskeee,Imperial Esports,Latvia,28,Analyst
Independent,Fnatic,Latvia,27,Assistant Coach
keen,SemperFi Esports,Latvia,25,In-game leader
krii,自由选手,Latvia,27,Rifler
msn2k,自由选手,Latvia,27,Rifler
prelideN,自由选手,Latvia,26,Rifler (entry fragger)
R0b3n,自由选手,Latvia,24,Rifler
rabbit,hypewrld,Latvia,23,AWPer
rAW,自由选手,Latvia,26,Rifler
shadiy,SemperFi Esports,Latvia,23,Rifler
shield,SkyFury,Latvia,22,AWPer
YEKINDAR,Team Liquid,Latvia,26,Rifler (entry fragger)
Bymas,自由选手,Lithuania,22,Rifler (lurker)
dziugss,Natus Vincere Junior,Lithuania,17,Rifler
EspiranTo,MINLATE,Lithuania,24,Rifler (entry fragger)
fierre,自由选手,Lithuania,24,Rifler
haflex,自由选手,Lithuania,未知年龄,未知位置
jL,Natus Vincere,Lithuania,26,Rifler (lurker)
kalinka,自由选手,Lithuania,31,未知位置
Kvik,自由选手,Lithuania,30,未知位置
